品种,波动率分级,波动率1Y,趋势强度,流动性,置信度,警告数
CZCE.AP,Medium,0.1811,Strong,Low,0.92,0
CZCE.CF,Low,0.0726,Strong,High,0.96,0
CZCE.FG,Medium,0.2613,Strong,High,1.00,0
CZCE.MA,High,0.2752,Weak,High,0.90,1
CZCE.OI,Low,0.1141,Medium,Low,0.97,0
CZCE.PF,Medium,0.1878,Weak,Low,0.91,0
CZCE.RM,Medium,0.1480,Medium,High,0.99,0
CZCE.SA,Medium,0.2049,Strong,High,0.99,0
CZCE.SR,Low,0.0538,Medium,High,0.96,0
CZCE.TA,High,0.2292,Weak,High,0.91,0
CZCE.UR,Medium,0.1853,Strong,High,0.97,0
DCE.a,Low,0.0952,Medium,High,0.95,0
DCE.c,Low,0.0699,Strong,High,1.00,0
DCE.cs,Low,0.0790,Medium,Low,0.99,0
DCE.eb,High,0.2532,Weak,High,0.90,1
DCE.eg,High,0.2455,Weak,Low,0.90,1
DCE.i,Low,0.1298,Strong,High,0.99,0
DCE.j,Medium,0.2284,Strong,Low,1.00,0
DCE.jd,Medium,0.2431,Medium,High,0.99,0
DCE.jm,High,0.3133,Strong,High,0.99,0
DCE.l,Medium,0.1928,Weak,High,0.89,1
DCE.lh,Medium,0.1626,Strong,High,0.93,0
DCE.m,Low,0.1184,Medium,High,0.96,0
DCE.p,Medium,0.1458,Medium,High,0.96,0
DCE.pg,High,0.3318,Weak,Low,0.91,0
DCE.pp,High,0.2000,Medium,High,0.89,1
DCE.v,Medium,0.1773,Weak,High,0.93,0
DCE.y,Low,0.1014,Medium,High,0.95,0
INE.sc,High,0.3687,Strong,Low,0.91,0
SHFE.ag,High,0.4000,Weak,Low,0.92,0
SHFE.al,Medium,0.1294,Weak,Low,0.94,0
SHFE.au,Medium,0.1878,Weak,Low,0.89,1
SHFE.bu,High,0.2163,Strong,Low,0.92,0
SHFE.cu,Medium,0.1336,Weak,Low,0.97,0
SHFE.fu,High,0.3600,Strong,Low,0.91,0
SHFE.hc,Low,0.0836,Strong,Low,0.97,0
SHFE.ni,Medium,0.1844,Medium,Low,0.97,0
SHFE.rb,Low,0.0898,Strong,Low,0.97,0
SHFE.ru,Medium,0.1676,Strong,Low,0.98,0
SHFE.sp,Low,0.1335,Strong,Low,0.98,0
SHFE.ss,Low,0.1073,Weak,Low,0.96,0
SHFE.zn,Low,0.1175,Strong,Low,1.00,0
